Rank,Method,CQS,FID,LPIPS,SSIM,PSNR,Pixel_Accuracy,mIoU,fw_IoU,Num_Images
1,cycleGAN,-0.7807,92.65,0.2126,0.8689,,88.62,46.76,83.64,187398
2,flux_kontext,-0.6554,80.30,0.4063,0.5497,13.23,81.89,40.01,75.75,69900
3,step1x_new,-0.4733,86.64,0.4318,0.5777,12.36,81.65,35.92,74.44,77343
4,LANIT,-0.2859,106.24,0.3175,0.7733,,85.16,44.48,79.84,223300
5,StyleID,-0.0168,89.49,0.4456,0.6101,,67.49,22.25,58.64,15533
6,albumentations_weather,0.0682,123.94,0.2745,0.7037,14.98,84.51,43.99,78.94,95700
7,automold,0.1550,121.12,0.3188,0.6706,,80.94,33.50,74.57,95700
8,step1x_v1p2,0.1786,91.63,0.5969,0.4020,,68.21,24.61,58.71,119050
9,VisualCloze,0.2586,99.34,0.5578,0.4247,12.69,69.35,24.02,61.09,65006
10,SUSTechGAN,0.3580,147.49,0.1943,0.8894,,89.21,49.13,84.54,127699
11,cyclediffusion,0.3900,138.77,0.2220,0.8158,,83.08,33.18,75.65,110883
12,IP2P,0.4149,114.22,0.4696,0.5504,,72.10,28.52,63.83,187398
13,EDICT,0.5744,145.93,0.2393,0.8029,,82.67,31.90,75.09,40058
14,Attribute_Hallucination,0.6392,117.95,0.6076,0.3751,,72.30,21.60,63.74,191400
15,UniControl,0.7290,114.90,0.7041,0.3254,,70.34,22.51,61.51,187398
16,CUT,0.7833,119.38,0.5644,0.3448,,66.87,18.11,56.62,60381
17,Img2Img,0.8380,120.25,0.5573,0.4334,,65.03,15.04,55.04,124932
18,Qwen-Image-Edit,0.8470,111.41,0.6815,0.2967,9.41,62.34,17.18,52.44,41718
19,cnet_seg,1.4307,120.77,0.7346,0.2273,,49.43,13.00,39.72,187398
20,CNetSeg,1.4307,120.77,0.7346,0.2273,,49.43,13.00,39.72,187398
21,stargan_v2,1.5163,100.28,0.7355,0.2023,,28.45,4.84,19.57,187398
