Model,ACDC,BDD100k,BDD10k,IDD-AW,MapillaryVistas,OUTSIDE15k,Total
AOD-Net,96,,,174,,,270
Attribute_Hallucination,4206,79992,14220,23082,45162,24738,191400
CNetSeg,4206,79992,10218,23082,45162,24738,187398
CUT,4206,79992,14220,23082,45162,24738,191400
EDICT,4206,59981,,,,,64187
IP2P,4206,79992,10218,23082,45162,24738,187398
Img2Img,4206,79992,10218,23082,45162,24738,187398
LANIT,4907,97993,11921,26929,52689,28861,223300
NST,1013,20523,2402,5298,9164,3098,41498
Qwen-Image-Edit,4358,,2370,333,2263,,9324
SUSTechGAN,2904,55996,6812,15388,30108,16492,127700
StyleID,4206,11327,,,,,15533
TSIT,4206,83994,10218,23082,45162,24738,191400
UniControl,4206,79992,10218,23082,45162,24738,187398
VisualCloze,4206,,,9945,,,14151
Weather_Effect_Generator,2103,39996,7110,9670,15054,8246,82179
albumentations_weather,2103,39996,7110,11541,22581,12369,95700
augmenters,3505,66660,11850,19235,37635,20615,159500
automold,2103,39996,7110,11541,22581,12369,95700
cycleGAN,4206,79992,10218,23082,45162,24738,187398
cyclediffusion,4206,79992,14220,12465,,,110883
flux2,4206,,,,,,4206
flux_kontext,,,,,45162,24738,69900
stargan_v2,4206,79992,10218,23082,45162,24738,187398
step1x_new,4206,10325,,20952,20959,20901,77343
step1x_v1p2,4194,12278,,,26727,24562,67761
TOTAL,90376,1258993,170871,351209,691381,394893,2957723
