Model,cloudy,dawn_dusk,foggy,night,rainy,snowy,clear_day,defogged,fog,rain,snow,unknown,Total
AOD-Net,,,,,,,,270,,,,,270
Attribute_Hallucination,31900,31900,31900,31900,31900,31900,,,,,,,191400
CNetSeg,31233,31233,31233,31233,31233,31233,,,,,,,187398
CUT,31900,31900,,31900,31900,31900,,,31900,,,,191400
EDICT,10690,10664,10721,10651,10807,10654,,,,,,,64187
IP2P,31233,31233,31233,31233,31233,31233,,,,,,,187398
Img2Img,31233,31233,31233,31233,31233,31233,,,,,,,187398
LANIT,31900,31900,31900,31900,31900,31900,31900,,,,,,223300
NST,23058,18440,,,,,,,,,,,41498
Qwen-Image-Edit,770,770,5478,769,769,768,,,,,,,9324
SUSTechGAN,31900,31900,31900,50,31900,50,,,,,,,127700
StyleID,2589,2588,2589,2589,2589,2589,,,,,,,15533
TSIT,31900,31900,31900,31900,31900,31900,,,,,,,191400
UniControl,31233,31233,31233,31233,31233,31233,,,,,,,187398
VisualCloze,2358,2358,2359,2358,2359,2359,,,,,,,14151
Weather_Effect_Generator,,,31900,,18379,31900,,,,,,,82179
albumentations_weather,,,31900,,,,,,,31900,31900,,95700
augmenters,,,,,,,,,,,,159500,159500
automold,,,31900,,31900,31900,,,,,,,95700
cycleGAN,31233,31233,,31233,31233,31233,,,31233,,,,187398
cyclediffusion,18480,18480,18481,18480,18481,18481,,,,,,,110883
flux2,701,701,701,701,701,701,,,,,,,4206
flux_kontext,11650,11650,11650,11650,11650,11650,,,,,,,69900
stargan_v2,31233,31233,,31233,31233,31233,,,31233,,,,187398
step1x_new,12889,12890,12892,12890,12891,12891,,,,,,,77343
step1x_v1p2,11292,11293,11295,11292,11294,11295,,,,,,,67761
TOTAL,441375,436732,424398,386428,468718,450236,31900,270,94366,31900,31900,159500,2957723
