Model,Actual_Images,Manifest_Entries,Match,Num_Domains,Num_Datasets,Primary_Domain,Primary_Dataset
AOD-Net,547,270,N,1,2,defogged,IDD-AW
Attribute_Hallucination,191400,191400,Y,6,6,cloudy,BDD100k
CNetSeg,187398,187398,Y,6,6,cloudy,BDD100k
CUT,191400,191400,Y,6,6,cloudy,BDD100k
EDICT,64187,64187,Y,6,2,rainy,BDD100k
IP2P,187398,187398,Y,6,6,cloudy,BDD100k
Img2Img,187398,187398,Y,6,6,cloudy,BDD100k
LANIT,223300,223300,Y,7,6,clear_day,BDD100k
NST,41498,41498,Y,2,6,cloudy,BDD100k
Qwen-Image-Edit,9404,9324,N,6,4,foggy,ACDC
SUSTechGAN,127700,127700,Y,6,6,cloudy,BDD100k
StyleID,15533,15533,Y,6,2,cloudy,BDD100k
TSIT,191400,191400,Y,6,6,cloudy,BDD100k
UniControl,187398,187398,Y,6,6,cloudy,BDD100k
VisualCloze,33707,14151,N,6,2,foggy,IDD-AW
Weather_Effect_Generator,82179,82179,Y,3,6,foggy,BDD100k
albumentations_weather,95700,95700,Y,3,6,foggy,BDD100k
augmenters,159500,159500,Y,1,6,unknown,BDD100k
automold,95700,95700,Y,3,6,foggy,BDD100k
cycleGAN,187398,187398,Y,6,6,cloudy,BDD100k
cyclediffusion,110883,110883,Y,6,4,foggy,BDD100k
flux2,10851,4206,N,6,1,cloudy,ACDC
flux_kontext,69900,69900,Y,6,2,cloudy,MapillaryVistas
stargan_v2,187398,187398,Y,6,6,cloudy,BDD100k
step1x_new,77343,77343,Y,6,5,foggy,MapillaryVistas
step1x_v1p2,67761,67761,Y,6,4,foggy,MapillaryVistas
